20 20
19 20
21 19
20 19
20 18
19 18
23 17
22 17
22 16
21 16
25 15
24 15
24 14
23 14
22 18
22 17
21 17
21 16
20 16
20 15
19 15
19 14
18 14
18 13
17 23
17 22
16 22
16 21
15 21
15 20
14 20
14 19
13 19
13 18
13 17
12 17
11 29
11 28
10 28
10 27
9 27
14 26
13 26
13 25
12 25
11 25
11 24
10 24
17 23
16 23
16 22
15 22
15 21
14 21
14 20
14 19
22 18
21 18
23 17
22 17
22 16
21 16
21 15
20 15
20 14
19 14
18 14
18 13
17 23
17 22
16 22
16 21
15 21
15 20
21 19
20 19
20 18
19 18
19 17
24 16
23 16
23 15
22 15
22 14
21 14
20 14
19 21
19 20
18 20
18 19
17 19
16 19
16 18
16 17
24 16
23 16
23 15
22 15
22 14
21 14
21 13
20 13
28 12
27 12
27 11
26 11
25 11
24 16
24 15
23 15
23 14
22 18
22 17
21 19
21 18
20 18
20 17
19 17
18 17
18 16
17 16
16 16
15 25
15 24
14 26
14 25
13 25
13 24
17 23
16 23
16 22
15 22
15 21
15 20
14 20
13 20
12 28
12 27
11 27
11 26
10 26
10 25
9 25
9 24
8 24
8 23
7 23
6 34
6 33
5 33
8 32
7 32
7 31
6 31
6 30
6 29
12 28
11 28
11 27
10 27
9 31
9 30
8 30
8 29
7 29
7 28
6 28
5 28
4 28
13 27
12 27
12 26
12 25
12 24
11 29
11 28
10 28
10 27
9 27
9 26
8 26
8 25
7 25
16 24
15 24
15 23
14 23
18 22
17 22
17 21
17 20
21 19
20 19
20 18
19 18
19 17
18 17
24 16
23 16
23 15
22 15
22 14
21 14
21 13
20 13
20 12
19 12
19 11
18 11
17 23
17 22
16 22
16 21
16 20
15 20
15 19
14 19
13 19
13 18
23 17
22 17
22 16
21 16
25 15
24 15
24 14
23 14
23 13
22 18
22 17
21 17
21 16
20 16
20 15
19 15
19 14
18 14
18 13
17 13
17 12
16 12
16 11
15 11
30 10
29 10
29 9
28 9
28 8
27 8
27 7
26 7
25 7
25 6
35 5
34 5
36 4
35 4
35 3
35 2
34 2
33 2
33 1
32 8
32 7
31 7
31 6
30 6
30 5
30 4
29 4
29 3
29 2
28 2
28 1
27 13
27 12
26 12
26 11
25 11
25 10
24 10
24 9
23 9
22 18
22 17
21 17
20 17
19 21
19 20
18 20
18 19
17 19
16 19
15 25
15 24
14 24
13 24
17 23
16 23
16 22
15 22
14 26
14 25
13 27
13 26
12 28
12 27
11 27
11 26
11 25
16 24
15 24
15 23
18 22
17 22
17 21
16 21
16 20
15 20
14 26
14 25
13 25
16 24
15 24
15 23
14 23
14 22
14 21
20 20
19 20
19 19
18 19
22 18
21 18
21 17
20 17
19 17
19 16
19 15
26 14
25 14
25 13
24 13
24 12
23 12
22 12
22 11
30 10
29 10
29 9
28 12
28 11
27 11
27 10
26 10
31 9
30 9
30 8
29 8
29 7
28 7
28 6
27 6
27 5
26 5
25 15
25 14
24 14
24 13
23 13
23 12
22 12
22 11
21 11
30 10
29 10
29 9
28 9
28 8
27 8
27 7
27 6
27 5
26 5
25 5
25 4
24 4
23 17
23 16
22 16
21 16
20 20
20 19
19 19
18 19
18 18
23 17
22 17
22 16
21 16
21 15
26 14
25 14
25 13
24 13
24 12
23 12
22 12
21 12
29 11
28 11
30 10
29 10
29 9
28 9
27 9
26 14
26 13
25 13
25 12
24 12
23 12
22 12
22 11
21 11
30 10
29 10
29 9
28 9
28 8
27 8
26 8
26 7
34 6
33 6
33 5
32 5
32 4
31 4
31 3
30 3
29 3
29 2
39 1
38 1
38 0
37 0
